"id";"nom";"code-barre";"prix";"categorie";"unite";"image"
"32";"AMANDES DECORTIQUEES *VRAC* ESPAGNE LE KG";"0493117000009";"16.05";"V";"kg";""
"244";"NOIX DE CAJOU *VRAC*, LE KG EN SAC DE 5KG";"0493116000000";"15.62";"V";"kg";""
"576";"♥ Aubergine JDL";"0493104000005";"4.57";"L";"kg";""
"577";"♥ Artichaut BDC";"0493096000007";"4.84";"L";"kg";""
"579";"♥ Betterave BDC";"0493009000001";"2.96";"L";"kg";""
"581";"♥ Blette BDC";"0493013000004";"3.23";"L";"kg";""
"582";"♥ Blette multicolore JDL";"0493014000003";"3.77";"L";"kg";""
"583";"♥ Brocoli BDC";"0493022000002";"4.3";"L";"kg";""
"584";"♥ Carotte BDC";"0493015000002";"3.23";"L";"kg";""
"585";"Carotte couleur SAF";"0493016000001";"1.88";"L";"kg";""
"590";"Champignon Pleurotte SAF";"0493025000009";"14.55";"L";"kg";""
"595";"♥ Chou de Bruxelles BDC";"0493035000006";"5.38";"L";"kg";""
"598";"♥ Chou Frisé Kale JDL";"0493031000000";"6.05";"L";"kg";""
"600";"♥ Chou Pommé JDL";"0493033000008";"3.63";"L";"kg";""
"603";"♥ Butternut BDC";"0493093000000";"2.96";"L";"kg";""
"606";"♥ Potimarron BDC";"0493043000005";"2.96";"L";"kg";""
"607";"♥ Courge Spaghetti JDL";"0493044000004";"2.56";"L";"kg";""
"608";"♥ Courge Sucrine du Berry JDL";"0493046000002";"2.56";"L";"kg";""
"609";"♥ Courge découpe BDC";"0493038000003";"2.15";"L";"kg";""
"610";"♥ Courgette BDC";"0493049000009";"2.02";"L";"kg";""
"615";"♥ Epinard BDC";"0493052000003";"6.46";"L";"kg";""
"616";"♥ Fenouil BDC";"0493054000001";"4.3";"L";"kg";""
"618";"♥ Haricot vert BDC";"0493060000002";"8.61";"L";"kg";""
"626";"♥ Roquette BDC";"0493081000005";"12.91";"L";"kg";""
"628";"♥ Navet JDL";"0493064000008";"3.09";"L";"kg";""
"631";"♥ Navet BDC";"0493065000007";"2.96";"L";"kg";""
"632";"♥ Oignon JDL";"0493077000002";"3.63";"L";"kg";""
"633";"♥ Oignon jaune BDC";"0493072000007";"2.96";"L";"kg";""
"634";"♥ Oignon rouge BDC";"0493071000008";"3.23";"L";"kg";""
"635";"♥ Panais JDL";"0493057000008";"4.04";"L";"kg";""
"637";"♥ Poireau BDC";"0493063000009";"3.23";"L";"kg";""
"642";"♥ Pomme terre primeur JDL";"0493098000005";"3.63";"L";"kg";""
"643";"Pomme de Terre  Agria SAF";"0493111000005";"1.95";"L";"kg";""
"644";"♥ Patate douce JDL";"0493082000004";"3.77";"L";"kg";""
"887";"♥ Betterave JDL";"0493012000005";"3.09";"L";"kg";""
"888";"♥ Carotte JDL";"0493017000000";"3.09";"L";"kg";""
"889";"Carotte lavées SAF";"0493018000009";"1.88";"L";"kg";""
"905";"♥ Blette JDL";"0493069000003";"3.77";"L";"kg";""
"927";"♥ Courge Musquée de Provence JDL";"0493040000008";"2.56";"L";"kg";""
"932";"♥ Courge Carat BDC";"0493037000004";"2.56";"L";"kg";""
"933";"♥ Courge Trompba Albenga JDL";"0493048000000";"2.56";"L";"kg";""
