"id";"nom";"code-barre";"prix";"categorie";"unite";"image"
"3511";"♥AA-LA TOMME DES CROQUANTS AFFINE A LA LIQUEUR DE NOIX DU PERIGORD-MV";"0493773000009";"32.69";"A";"kg";"/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCABAAEADASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwDudN1W/m1fVVuHkkt7e7a3hRDsCqEjbceMscuRyQMCtP7VK0jHbcFccLGDwfcknNc/Fqen+HZdVutRuYbWGbU5CZbiT5SzIgUDAOPlj6exq1L4z8NxC1M2qafGbqMS25efaJELFQwJXAGVYckdK+dw9C9OLUE7pdL9EdvMjYS9L8hbkqR8rev5H60C9kZsFLgDgEqjfL74PWs7UfE2jaLPFFq1/bWk0pzGlzcAM3JGcYOBnI3HA4PNWhq9r/aEGnF4/t00XnQwCUb5EBI3KOhHB79vbNaOi+kF/wCAjTX9MhvptQa3drS9uopQhVC0S7CxxgsGXI+o9eQRXFy+M9b8yZHvxbsH8tcQKygLMisxcjBzuKdMAr0rrn8R6VPo02ppe2zaaqsHuxL+7UghTzj1YDgc5FcBq9ium3lxqkk9hZ6c9xIRNJMWG2Vo5cKu4ZJKsQq54Oe1EMPFyalTX3FK25gX3xI8Yh9Slt9aZYoJfkRbWBtoLY2k7OcZxnPJHvXTeHfFvjIeJtPs9UvEu7K+lWPc8KxtH8rMSuxRkcAZPfpXGW2nQWWkX17qF9bi31GMxwXPzeXJJuJJDA4LDuDXW6ZeRXXirQngaBbdJ4wgfh2DIwXbzyMAdPr2oxNGEKcrQWz6eRLlBbs1/Euia3fXqRwQmKAa7bXyy2kqrNHCoZXkAYctnkYDfQ1l+JdB1nVtU8+3j1Ka2j0eOznF2Qj6hsuvMeFnxlCy4IkwBlcdzXd3dsYNQdwnlmX51YdG7fTt0qPdNGy42kL29fx7VvhKrhRh6L8UhOnF3ObuU1WDXda1Sw0L+0rbW7GCHyp544TaFIihikD53RnO47T1X8a5+bw3qTpaPod6s+q6NotvaW91DKCvmtLIky/NjCiOU4JA+6MeldRq3i+TRtbsLX7HAYXCzX87ykG3hkkEMbrkgE7ySRz8o/GtfX9S1DSDpirDCTfata6a/nMWKCQsGZcHgjaMZ49jXZFzVmupm1B3ucWvhXWoNI/4Rq0sYI9Ki1y4uxJfNviktU2mFGVW3MHbORwRtGarR6ZrWkw+HZZ4Rc3OkXNxaxLHLGhuYmQJHNGxyquqjgPg/KK6fxXrsvhr+zwLaK9kYPcXIeUAw2aFVkdRuGXLMMDn7rcGuhRzHdFkbKhcZGQCDgg/QjB/EVlUq1EuZx0f9P8AAuMIu6T1OA+y+Ibux0qcteS3cOpXF1izu7aC4ggeLYq+YVWNn3bixCnO4969E0tneGD7T55lW3QsLiVZHD4UHcw+UtnOSuATnFOubSLUVjMgzIhzG55Kn0+ntTdPtUEwZbmUeXG3yMzHPI4PJz9TXNipOVCS02f5McIqLJdeYQ2IuGIVIbYTFjwAFLbs/hn8qwrbU4by1WeF9yNwGT5hn6jrXS3F5bNNHEk0bywxqske7JBOTg/UEfnXjGvaPcaR/a9jpUrRXIDRxMr7CyEqcZ9ShIB9aqhC9GnrbRfkg5rX0PSbrwp4fv5r2XUtJjuZ79FikmmQSNGFj2gRMR+6wOeOc8mtDU9Bsta0yztLtrySK2linhmiu2SUPGCqv5g6nknPrz1rg9R07Tv+ERu4vD3hzUbCPzbP+0bV7GW2lu4F3+ZEpZsu2PvYOTnqc1lX+iyXWk+JX0TRLm20+4t7UQWxtGhNzOkyPI8MTEkDYuDjG4jjNekovRNmOh6TJ4S0O6uDNf2J1SY2yWvmak/2p1RdxG0sMqxLElutRanaHTPD1rZaeZlezMEEDSEuyJnb8xwNwCn/AMdHpXEanZ3evXuv6hb6bO1tqOtaUYFv7JwJFjQrI0kX3jGCwyeMgnmszxr4Xl0vSNDhaP7Rb28+ozzNDYSSW9sZfKKRqgJKpnhcnrk1MoOceVvcqnLlldI9E0aa9uLaWWKKWO38wiOSVgd6hvvKOvqOePyrYspEE7qQVYoRtYEdxVfR5UfS7TYy5MEZ6Y42jp7VrW2Gack7j5RIzzjkdPSvMxFJfV52eyf5M6ZS97Yxb/S4dQuZ8ebHcsAiujEFh2GOh5rzLxzfXSDR5mlIubqwf7QdgydshRSQRw2NwP8AuivQ9Tn8ffbpYtK0/RX0/cVQXszHeuOGIUAqc9tx/rXC3ngTx3q95Ne6slpcXcjYLi6AUL2VV2/Koz0/HqTV08Vhlh4LmV0lf7l5HN73M+x3Wh65ZeIfDVtdwMnnxIkd6pmIeCUYUqVwx+Zs4OMYIrUuNFt1XfF8854E04Kso6fNk4JwfbB7V5mvw48UW00N7ZRrbX6psM9vqBiYLxkZC8jjoau2/hz4rWkUcUWt2hjjTbsfY2/nv8nXvkkn3rsWMwlvjj9//AMbTPQrC3RIY4bhQLgZR3Cuqs3THzcg4wdv6muP+Jus2VnFYaFDPHHf3k4MsIfc8cQUtuYHO3J24B6846VVTQPibJbPBd61IyyMu4W1xHbjHGfmRA3twRWVN8MNbJhkhsLRJI3L8XX3mIwSSRknnqck0pYrCSVvaL7/APgFR507mn4P1i317w5a2sSsbiwQw3bgKwjKthSy5ztYYORxwRnPFbnha4vZ7rUGlulliiukt1aIOEPyMWX58k/wnrXmj/CDxWLmeWK2to5JS2JI77aRk55wvIrpvAvg7xz4Z1CIXUsT6dLcB7qFrgSDaFIDLxkMPY88ZHFcuIxGGdGajNXs/wAn5G0ZSvqj/9k="
"2210";"Biscuit sablé cœur choco noisette♥";"0493448000006";"23.02";"V";"kg";""
"20";"LENTILLES VERTES ♥ *";"0493171000007";"7.89";"V";"kg";"/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCABAAEADASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwD3+iiigAooooAKKKKACiiigAooqOWeOAxh937xwi4UnnnrgcDjqeKAJKK5fxF470nw+rx7jeXgD/6PAwyCoyQx/h/nweOK84vPiv4inlL2x02zSOTeYdjymSNlBRd4BHOHGcDkAcDmodSK0KUWz2+ivLNI+LZJnXVobaTZllaybBC+hDNjI74OO4r0PS9a0/WIPMsrmORgMvHuG+P2Ydv84ojOMtgcWtzQoooqyTP1e2ubqyCWmROHBRxcNFsPPzZAO7GfukEHvXiXi/xjrb3Nzpt5dunkSNHKkMwjEiqSDjack8MTuAGMdxXvtZV/4esL3TTZxwQWwBLRPHbRMYmJyWVXUrknPUd6icOYqLsfL7Lm5mlhIubWCMyqyv5oIbhXZnXKEgjvwR74pvmzWttaq/lywyHYjRmWZlV+oOMJk/LgZOSB1r6Qm+HvhecIX0tQ6qFEkcjxscdMlSM//qHQVQi+FPhaLBS3ulkXo6Xcikckj7pA4yR06Go9nIvnR8/rfGOaVzbyx7pV3T24aJmYMSCVOAD/AAnggEdBxWhYXt1A7zW8E9nOyrHJJDd7pHB+UpIuAxjDIy8Y2g8Eivc1+Fvhbz5ZZbOSYu+5RJKf3Y7qCMEg99xJ7ZxWmfA/hkpAh0a12wDCgKRuHo/Pzj/ezjrS9mw50cf4S8fT3Ui2Gs6pZ2EkREjSXjKTNGByoIKhPUbsnGeD1ruNJ1cahe3CeZLtYCSGNrR49sYJXPmZKvuIJGMcEcd6vR6bYxWyW0dlbpAmdsSxKFXPXAxgdTTrOxtNOthb2VrBbQAlhFBGEUEnJOBxySTWkYtdTNtMsUUUVYgooooAKKKKACiiigD/2Q=="
"601";"COURGE ♥♥♥";"0493918000000";"1.84";"L";"kg";""
"684";"POUDRE PERCARBONATE DE SODIUM VRAC ♥♥";"0493197000005";"4.7";"V";"kg";"/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCABAAEADASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwDud2B6U0sPUUyU/J+NMBz+PTNZjJtwHegMPWsFtR11Yt39hwghcktdADoO3Xrkfl60w6rqzRMYrGyD4yu64JHuDjr2we/PTHLA6IMoPWnq6+tc+b7VWvHjWGyjthKwWUl3Yx5+U7R3xnPvipIX8QyhC0emxo3JYMxPUdj7ZH5UAdCsi1Ojg8CqSbtqlgobA3BSSM+3tViH7xoAz5G+SowadL9wfWq9zgwld0iluAY5FRh9CTSAq3MWtG4ke1v7OKEnMavBkqBs6nHOcP6YyKxrvXdVhuJYBqQR428tgtqHO4AAnPGQSCwwP4gvUjNl4r9RGr6jNlST5iOTnPZsSe36mnBr1WAW/vQCCMNKxxknp+9wDjHPqM0wK8esarPdQxR6lPmZ1T/kG5CEuOp428HJBzhe5OM6ckeoi3aIa8RN5jESm3ZiBsAxgLjhtx/H2qsi3inm+uzgfdaVsD1ODKc96lj0+8miHlS3SgDAdpmZffkSH8qAOhjLKihzlgoyfU461PE3JqlawG3h8vYygHPzSlyT3OTzVqIZJ9qAKc33B9RWdqnNuhAyQ5P04q/Mf3fPqKz754NkUc0jJltwITcOOOfTrSHYpJLbhFzCGbaN37peTz3JqRZbHAZjtJX/AJ9VyP1qMrZAZN5N1+95PH86mWxgaAzC5l2EZHyDPHtmgLF6KC1jtHnkttyAFuYArED0APNU21G0jhjkfTgXaURkIA6gFiM7hx059hz0Ip9ssVnaC7iu5RE+P+WYfk+gzx+FSw39tGApkJjVi4iFoFweufz7+tAia1vY2u2torSSNMsAxQqcqBncOw5GD/iK1oDyfpVGC5inYyRowLDBdkAyAemep6/zq1E3zGmBSnI8v8RVC6tBdNGfM2bAcfLnrj3rROCMEAik2x/3RSKMpdHAAAuPlBzjy+v6/Wry2yxweVGRtyCd6Kcj0OMfn1qxsj9B+dKFT0/Wi4irLbM9qYUeNfnBX5CAoHbg5/GoBpMgUATxjAx91v8AGtLC/wCTTsL6/rQIrW9qkDs5jg35O1o0K4BHOck1dgOSTUYjQn/69SoFj+73oCx//9k="
"2309";"SHAMPOING CHEVEUX NORMAUX";"0493469000009";"12.21";"V";"Litre(s)";""
"2902";"SAVON LIQUIDE LAVANDE 20KG";"0493590000008";"9.9";"V";"Litre(s)";""
"2057";"DEGRAISSANT SANS RINCAGE VRAC ♥♥";"0490000402001";"5.16";"V";"Litre(s)";""
"2895";"CAROTTE BOTTE SAF";"0493585000006";"3.51";"L";"Unité(s)";"/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCABAAEADASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwD3+ivKUlHGEB9f85qcSEZwqrzjnNOzFdHp9FeXyiWSGRYXh3kfKW7e9cZrWjXFtCpnnFyHG3JTbz15IPA61MuZdCZTtsfQdFfJktpfqqia2ijjiXLS7wQ2GA6Zypwe/B5rSELsFS1iG1YAhBcsARwNozg5IOSfz4rCVfldrEe18j6hor5Z1K2nuLl9jW0QjH+qVC4bpgcEfz74x3qpqVtJFGUa4N3NGAWFqVQRg8cg/Mfoe1Ht10D2vkexCwYjKrj3pRYSc5PfnihdzOAv3m6KhyT+AqSeW3s1/wBNuooGYcI7ZbP+6Oa2qVYU1ebsdFOnOo7QV2Rmzk6YGR/s/wD16pajGtvaSySqoVcHkFst2GP5VLBqum3d99kszcahdAZKRgoqD1Y/wj60axrlrZW0kFvCt1dL8rCCIsqMfuqMcs2e2cn2FcksdT+xqdTwFZRbkrHEx6cpNnql7JCJHVhNb3CN87EZUnnO1eck4J9BVS5uLHUJoItPn022nQD99cd3x1x0Y8cdvTFXNR0/VdSubXzFtyiiWOSKVfuuAhI2qQpI389x61WT4dzF45RO7yAhv37hh+A7Gs6VKdWPMzzPZ9jBIvpLoXsdxeXI2gFolERiJ4OOc9BngdD2p9lp13PrzGaO5FzKhT/SHZmdc5zuJ7D3ruYPB1kYlS8ne4kTpKdoYDsPlxW/FDDaxJEv3FG0Fjk10xoNaMah3JJ0mWB/s9ytoHXDOsbOxX04I/LmsCREs7aW6ur+XT9N/wCW17MyCeUH+CNVAVM49zXQ3JCxl+CVHAKFgPw7/jxXG3XhO78R6olxrV0ZIVY+VbiTKoO5PqfU9BwOnFc+LpRm+Z6Jdf8AL+kvU9jB1pQXKtW+n6/1cm0zXhrkEkWhQf2R4YtmLT3b8SXLDryeT7seewxV7TNTtLLRG8RyxGO1ZjFpVvt2vJuO3zMf3nPT0XnuazbjTx4muRptvILLwlYYMrJ8v2gL1A9Ezx7nPYU95Y/E3iWzuWxFoulA3EUa8KFUYVse56D2PrXG6W7+fy6fNneqv2b9fv7/AHdWdRBBJJIiTqjzRRbpCeB5jncQP0q+kAI+YJtyMDHI/Gq+nzJJE08hxJOfMYbCduegP4Yq8Cu0Zzj1256V69CKp04xPExEuerKSIjGrfd4x6r1ppt0VcBW29M44FTBYtxwXz/1zx+tDru6ggeuK2ujCzIJQ5UhYwW7Et0rKGlNuma4u5bgy4D+awA2jogAAAXPbuevSvXqKxnRjJ3ZtCtKCsjxW+sGnsJICB5LNvkVRtBAGFX3A5/OprGwcutvEsaWsZVrliMmaQdFH+wv6mvZKKl0E3d+vzKVeSVkeeBlX/lmgJ64AGfSpkYHB2AfQV3tFa8plzHDM5RCeSMZwGPSoPN3L8oHHqa9Aopcocx//9k="
"1541";"Bouteille verre consignée + capsule T.Battant";"0499000044006";"1.85";"V";"Unité(s)";""
